name,description,site,github,tags,stars
S6,"Slide Show/Presentation Templates Using HTML, CSS & JavaScript (w/ jQuery)",http://geraldb.github.io/s6/blank5.html,https://github.com/geraldb/s6,"jquery, slideshow",85
grips,simple-logic templates,http://getify.github.com/grips/,https://github.com/getify/grips,"javascript, templates, templating",133
LABjs,"LABjs (Loading And Blocking JavaScript) is an open-source (MIT license) project supported by Getify Solutions. The core purpose of LABjs is to be an all-purpose, on-demand JavaScript loader, capable of loading any JavaScript resource, from any location, into any page, at any time. Loading your scripts with LABjs reduces resource blocking during page-load, which is an easy and effective way to optimize your site's performance.",http://labjs.com,https://github.com/getify/LABjs,,1034
SelectBoxIt,"SelectBoxIt allows you to replace ugly and hard to use HTML select boxes with gorgeous and feature rich drop downs. Twitter Bootstrap, jQueryUI, and jQuery Mobile themes are supported right out of the box. To use SelectBoxIt, you do not have to rewrite any of your existing form validation logic or event handling. SelectBoxIt just works.",http://www.selectboxit.com,https://github.com/gfranko/jquery.selectBoxIt.js,"jquery, jquery-ui, select",409
j5g3,"J5G3 is an easy to use, extendable and fast canvas-based Javascript game engine.",http://j5g3.com,https://github.com/giancarlo/j5g3,,0
zip.js,zip.js provides a low-level API for writing and reading large zip files.,http://gildas-lormeau.github.com/zip.js/,https://github.com/gildas-lormeau/zip.js,"compression, file, html5, zip",931
LiveScript,"LiveScript is a language which compiles to JavaScript. It is a fork of Coco which is in turn derived from CoffeeScript. Like those two it has a relatively straightforward mapping to JavaScript. LiveScript is Coco but much more compatible with CoffeeScript, more functional, and more feature rich. LiveScript aims for increased expressiveness and code beauty.\nWhile adding features to assist in functional style programming, LiveScript also deeply supports imperative and object oriented programming, and has an optional class system with inheritance, calls to super, and more.",http://livescript.net,https://github.com/gkz/LiveScript,"coco, coffeescript, compiler, functional, livescript",813
glDatePicker,"glDatePicker is a simple, customizable, lightweight date picker calendar plugin for jQuery weighing in 4KB compressed (11KB uncompressed).",http://glad.github.com/glDatePicker/,https://github.com/glad/glDatePicker,"calendar, jquery",192
Glow,"Glow is a JavaScript library which aims to make working with JavaScript and the DOM easier. It tries to do this by abstracting common tasks, hiding cross-browser issues, and providing a set of user interface widgets.\n\nIf you want to a quick introduction to using Glow, try our getting started guide, or browse the API documentation to see the full range of features.",http://www.bbc.co.uk/glow/,https://github.com/glow/glow1,,99
Epoxy.js,"Epoxy is an elegant and extensible data binding library for Backbone.js; it provides feature-rich extensions of Backbone's Model and View components designed to hook view elements directly to data models. Epoxy captures some great aspects of Knockout.js and Ember.js in a familiar API that feels tastefully like Backbone, with minimal additional file size (8k min, 3k gzip). Some key features in Epoxy include:",http://epoxyjs.org,https://github.com/gmac/backbone.epoxy,backbone,268
howler.js,"Browsers have come a long way over the years, and we are now able to achieve amazing results using all of the great new technologies often referred to as HTML5. However, generally speaking, audio still sucks. Thankfully, Google decided to create Web Audio API and make all our lives easier. The problem is that only the latest browsers support this new-fangled browser audio, so what are we to do?\n\nWe were presented with this very question while developing our new HTML5 game and set out to find a library that provided the functionality we needed, without all of the bloat, while still supporting the majority of browsers. Unfortunately, we didn't find anything that met our needs. So, we decided to create our own library and open source it. This library works great for games, but it can work just as well for any other audio-related web app.",http://howlerjs.com,https://github.com/goldfire/howler.js,"audio, mp3, music",1812
Slider.js,Slider.js is a lightweight slideshow engine using jQuery and CSS3 Transitions - It also uses Canvas for some non trivial transitions (hybrid) - Flickr slideshow example included,http://sliderjs.org/,https://github.com/gre/slider.js,jquery,441
Grapnel.js,A lightweight JavaScript library making it easy to run events based on a specific URL hashtag.,http://gregsabia.com,https://github.com/gregsabia/Grapnel.js,,114
jQuery PopBox,jQuery PopBox is a simple balloon UI element inspired by 37Signals Highrise CRM.,http://gristmill.github.com/jquery-popbox/,https://github.com/gristmill/jquery-popbox,jquery,422
Grunt,Grunt is a task-based command line build tool for JavaScript projects,http://gruntjs.com/,https://github.com/gruntjs/grunt,"coffeescript, jade, less, npm, sass, typescript",7061
Garlic.js,"Garlic.js allows you to automatically persist your forms' text field values locally, until the form is submitted. This way, your users don't lose any precious data if they accidentally close their tab or browser.",http://garlicjs.org/,https://github.com/guillaumepotier/Garlic.js,,1583
Parsley.js,"Javascript forms validation. Never write a single javascript line anymore to validate your forms FrontEnd. Parsley will do that for you and do it right, thanks to its powerful DOM-API.",http://parsleyjs.org,https://github.com/guillaumepotier/Parsley.js,validation,4353
jQuery Sparklines,"This jQuery plugin generates sparklines (small inline charts) directly in the browser using data supplied either inline in the HTML, or via javascript.\n\nThe plugin is compatible with most modern browsers and has been tested with Firefox 2+, Safari 3+, Opera 9, Google Chrome and Internet Explorer 6, 7, 8 & 9 as well as iOS and Android.",http://omnipotent.net/jquery.sparkline/,https://github.com/gwatts/jquery.sparkline/,"charts, jquery",471
Ladda,"A UI concept which merges loading indicators into the action that invoked them. Primarily intended for use with forms where it gives users immediate feedback upon submit rather than leaving them wondering while the browser does its thing. For a real-world example, check out any of the forms on slid.es.",http://lab.hakim.se/ladda/,https://github.com/hakimel/Ladda,,4115
Meny,A three dimensional and space efficient menu.,http://lab.hakim.se/meny/,https://github.com/hakimel/meny,,1618
reveal.js,reveal.js is a framework for easily creating beautiful presentations using HTML. You'll need a browser with support for CSS 3D transforms to see it in its full glory.,http://lab.hakim.se/reveal-js/,https://github.com/hakimel/reveal.js,,12793
jPlayer,jPlayer is the completely free and open source (GPL/MIT) media library written in JavaScript. jPlayer allows you to rapidly weave cross platform audio and video into your web pages. jPlayer's comprehensive API allows you to create innovative media solutions while support and encouragement is provided by jPlayer's active and growing community.,http://www.jplayer.org/,https://github.com/happyworm/jPlayer,"audio, fallback, html5, mobile, rtmp, video",2134
Toxiclibsjs,"Toxiclibsjs is an open-source library for computational design tasks with JavaScript. It is a port of Karsten Schmidt's Toxiclibs for Java and Processing. Toxiclibs.js works great with Canvas, with SVG or any ordinary DOM element. Examples pair with such fine libraries as: Processing.js, Three.js, or Raphael.js for SVG.",http://haptic-data.com/toxiclibsjs,https://github.com/hapticdata/toxiclibsjs,"amd, canvas, npm, svg",354
Chosen,"Chosen is a JavaScript plugin that makes long, unwieldy select boxes much more user-friendly. It is currently available in both jQuery and Prototype flavors.",http://harvesthq.github.io/chosen/,https://github.com/harvesthq/chosen,"checkbox, chosen, jquery, prototype, select",14257
emojify.js,A Javascript module to convert emoji keywords to images.,http://hassankhan.github.com/emojify.js/,https://github.com/hassankhan/emojify.js,"emoji, javascript, regex",209
Stapes.js,A (really) tiny Javascript MVC microframework.,http://hay.github.com/stapes,https://github.com/hay/stapes,"MVC, pubsub",190
headjs,JavaScript loader\nLoad scripts in parallel but execute in order,http://headjs.com,https://github.com/headjs/headjs,,3226
Chardin.js,Simple overlay instructions for your apps.,http://heelhook.github.io/chardin.js/,https://github.com/heelhook/chardin.js,"guide, tour",3577
Heisenberg.js,"A project base for building modern JavaScript applications\nPlease note that current Heisenberg is under very active development. Large changes may happen often until we hit V1.0.0.\n\nFeatures\n\nNot a framework, but a base project to help you structure your JavaScript code and files.\nTemplating built in - Handlebars is included but feel free to change engines.\nUses RequireJS for managing modules and dependencies.\nIncluded: jQuery, Underscore.js and Handlebars.\nA fully commented source to show you why it's doing what it's doing and how to build upon it's foundation.\nThe JavaScript version of the HTML5 Boilerplate",http://heisenbergjs.github.com/heisenberg/,https://github.com/Heisenbergjs/heisenberg,,101
Fastjs,"Really fast, cross-browser and light javascript framework with a large number of methods.",http://fastjs.net/,https://github.com/HelpeR/FastJs,,51
Foreman.js,Communicating with web workers has never been so easy thanks to this helper.,http://hezad.com,https://github.com/hezad/foreman,,16
Effin Toolset,A suite of tools for web developers,http://iwantaneff.in/,https://github.com/higgo/iwantaneff.in,,69
jTable,A JQuery plugin to create AJAX based CRUD tables.,http://www.jtable.org/,https://github.com/hikalkan/jtable,,233
BabelExt,"BabelExt is a library (or perhaps more of a boilerplate) meant to simplify the development of cross-browser ""userscript"" style extensions.",http://babelext.com/,https://github.com/honestbleeps/BabelExt,extensions,113
gmaps.js,gmaps.js allows you to use the potential of Google Maps in a simple way. No more extensive documentation or large amount of code.,http://hpneo.github.com/gmaps/,https://github.com/hpneo/gmaps,,4173
Offline,"Offline.js is a library to automatically alert your users when they've lost internet connectivity, like Gmail.\n\nIt captures AJAX requests which were made while the connection was down, and remakes them when it's back up, so your app reacts perfectly.\n\nIt has a number of beautiful themes and requires no configuration.",http://github.hubspot.com/offline/docs/welcome/,https://github.com/HubSpot/offline,,4316
Pace,"Include pace.js and the theme css of your choice, and you get a beautiful progress indicator for your page load and ajax navigation. No need to hook into any of your code, progress is detected automatically.",http://github.hubspot.com/pace/docs/welcome/,https://github.com/hubspot/pace,progress,3492
Envision.js,"Envision.js is a library for creating fast, dynamic and interactive HTML5 visualizations.",http://www.humblesoftware.com/envision,https://github.com/HumbleSoftware/envisionjs,html5,919
Flotr2,Flotr2 is a library for drawing HTML5 charts and graphs. It is a branch of flotr which removes the Prototype dependency and includes many improvements.,http://www.humblesoftware.com/flotr2/,https://github.com/HumbleSoftware/Flotr2,"charts, graphs, html5",1884
JS-ImageDiff,JavaScript / HTML5 Canvas based image diff utility.,http://humblesoftware.github.com/js-imagediff/,https://github.com/HumbleSoftware/js-imagediff,"canvas, html5, jasmine, testing",319
CAAT,"CAAT: Canvas Advanced Animation Tookit\nCAAT is a director-based Scene graph manager.\n\nIt is able to render using Canvas, WebGL and CSS without making changes to the applications that sit on top of it.",http://hyperandroid.github.com/CAAT,https://github.com/hyperandroid/CAAT,,628
doctest.js,"doctest.js is a test runner for Javascript, inspired by Python's doctest.\n\nThe tests are embedded in an HTML page, and look like what Javascript might look like if you are using an interactive prompt. An example of a test (note $ is uesd as a prompt, > as a continuation prompt):",http://doctestjs.org,https://github.com/ianb/doctestjs,,122
FrozenJS,Frozen is an open source HTML5 game engine. It is lightweight and supports AMD.,http://frozenjs.com,https://github.com/iceddev/frozen,"amd, dojo",88
Breeze.js,"Breeze helps with tough client-side data management chores such as free-form query and save of complex model object graphs (Customer.Order.OrderDetails.Product), tracking changes, data binding, model validation, and serializing object graphs for offline scenarios.",http://www.breezejs.com/,https://github.com/IdeaBlade/Breeze,"data, entity, offline, validation",532
machina.js,Machina.js is a JavaScript framework for highly customizable finite state machines (FSMs). Many of the ideas for machina have been loosely inspired by the Erlang/OTP FSM behaviors.,http://freshbrewedcode.com/jimcowart,https://github.com/ifandelse/machina.js,"finite, machine, state, workflow",669
deck.js,"Modern HTML Presentations\nA JavaScript library for building modern HTML presentations. deck.js is flexible enough to let advanced CSS and JavaScript authors craft highly customized decks, but also provides templates and themes for the HTML novice to build a standard slideshow.",http://imakewebthings.github.com/deck.js,https://github.com/imakewebthings/deck.js,,3826
Automaton,"Task automation tool built in JavaScript. A little detail that makes Automaton a powerful tool, is that every autofile you create can itself be used by another autofile, turning the first one into a single task (imagine boxes within boxes). If you are curious, you can take a look at the source code, and check for yourself that even the tasks that Automaton provides built-in are simple autofiles.",http://indigounited.com/automaton,https://github.com/IndigoUnited/automaton,,161
color2color,The color2color function simply converts Hex/RGB/RGBA/HSL/HSLA/HSV color strings to Hex/RGB/RGBA/HSL/HSLA/HSV color strings.,http://indyarmy.com/color2color/,https://github.com/indyarmy/color2color/,,40
jQuery Paging,jQuery Paging is a highly configurable jQuery pagination plugin.,http://www.xarg.org/2011/09/jquery-pagination-revised/,https://github.com/infusion/jQuery-Paging,"jquery, pagination",94
xcolor,"This plugin implements an extensiv color parser and a featureful set of color-manipulation methods. There is also an animate() extension to smooth CSS colors. Another useful method isReadable() completes the whole, by allowing you to check if a text is readable on a certain background. The color value can also be passed in different color models: RGB, HSV/HSB, HSL and their adequate alpha extensions.",http://www.xarg.org/project/jquery-color-plugin-xcolor/,https://github.com/infusion/jQuery-xcolor,jquery,97
Visual Sedimentation,"Visual sedimentation is a javascript visualizations library for streaming data, inspired by the process of physical sedimentation. This process is the result of objects falling due to gravity forces, that aggregate into compact layers over time. The process is well understood since our environment is shaped by sedimentation: mountains, hills or rivers are the visible result of this long process.",http://www.visualsedimentation.org/,https://github.com/INRIA/VisualSedimentation,,128
ion.sound,"Today websites are full of events (new mail, new chat-message, content update etc.). Often it is not enough to indicate this events only visually to get user attention. You need sounds! This library, made for playing small sounds, will help you with this task.",http://ionden.com/a/plugins/ion.sound/en.html,https://github.com/IonDen/ion.sound,,144
Jaws,"Jaws is a 2D game lib powered by HTML5. It started out only doing canvas but is now also supporting ordinary DOM based sprites through the same API.\n\nJaws is well suited for ?classic? side/top scrolling games (tile based or not) where you have a number of sprite-sheet-animated sprites. Jaws comes with basic rect-vs-rect/circle-vs-circle collision detection that works well in most cases. If you have tons of sprites (for example, a bullet hell schmup) you probably want to use a physicslib like Box2D or spatial hashing like quad trees to speed things up. Jaws use of canvas makes pixel perfect collisions and worms-style terrain relatively easy to develop. If your game is very GUI-heavy you might want to base your game on pure HTML-elements instead of canvas-sprites.",http://jawsjs.com/,https://github.com/ippa/jaws,2d,313
Ajile,Advanced JavaScript Importing & Loading Extension enables namespace creation and on-demand script loading in browser-based JavaScript environments.,http://ajile.net/,https://github.com/iskitz/ajile,,4
Select2,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results. Look and feel of Select2 is based on the excellent Chosen library.",http://ivaynberg.github.com/select2/,https://github.com/ivaynberg/select2,"chosen, jquery, select",9126
ColorBox,A lightweight customizable lightbox plugin for jQuery,http://www.jacklmoore.com/colorbox/,https://github.com/jackmoore/colorbox/,"jquery, lightbox",3026
Sigma.js,"sigma.js is an open-source lightweight JavaScript library to draw graphs, using the HTML canvas element. It has been especially designed to:\n\nDisplay interactively static graphs exported from a graph visualization software (like Gephi)\nDisplay dynamically graphs that are generated on the fly",http://sigmajs.org,https://github.com/jacomyal/sigma.js,"graphs, html5",1689
Javascript AudioFX,"A Simple HTML5 Audio Helper Library\n\nSimple HTML5  support.\n\nEasily play() and stop() any audio track.\nAdd support for audio pools for short, repeating, overlapping sounds.\nAdd support for loop in browsers that don't natively support it.\nLoad appropriate audio format based on current browser support (ogg|mp3|m4a|wav)\nCallback when audio has loaded and canplay",http://codeincomplete.com/posts/2011/9/17/revisiting_html5_audio/,https://github.com/jakesgordon/javascript-audio-fx/,,65
Javascript Finite State Machine,A finite state machine javascript micro framework,http://codeincomplete.com/posts/2013/1/26/javascript_state_machine_v2_2_0/,https://github.com/jakesgordon/javascript-state-machine,"commercial, statemachine",1196
Snap.js,A Library for creating beautiful mobile shelfs in Javascript (Facebook and Path style side menus),http://jakiestfu.github.io/Snap.js/,https://github.com/jakiestfu/Snap.js,,3720
grumble.js,"grumble.js provides special tooltips without the usual limitations of north/east/south/west positioning. \n\nA grumble can be rotated around a given element at any angle, all 360 degrees. Any distance can be specified. Any CSS style can be applied. There's auto-magic size adjustment for use with localised text. FX queues for animating multiple grumbles. And it works in IE6+, and modern browsers.",http://jamescryer.github.com/grumble.js/,https://github.com/jamescryer/grumble.js,"css3, tooltip",594
i18next,i18next is a full-featured i18n javascript library for translating your webapplication.,http://i18next.com/,https://github.com/jamuhl/i18next/,,534
mustache.js,"mustache.js is an implementation of the mustache template system in JavaScript.\n\nMustache is a logic-less template syntax. It can be used for HTML, config files, source code - anything. It works by expanding tags in a template using values provided in a hash or object.\n\nWe call it ""logic-less"" because there are no if statements, else clauses, or for loops. Instead there are only tags. Some tags are replaced with a value, some nothing, and others a series of values.",http://mustache.github.com/,https://github.com/janl/mustache.js,,5821
Locomotive.js,"Locomotive is a web framework for Node.js. Locomotive supports MVC patterns, RESTful routes, and convention over configuration, while integrating seamlessly with any database and template engine. Locomotive builds on Express, preserving the power and simplicity you've come to expect from Node.",http://locomotivejs.org/,https://github.com/jaredhanson/locomotive,MVC,507
Qlass.js,A library that provides addClass hasClass and removeClass to Elements and NodeLists with a simple wrapper.,http://anti-code.com/qlass/,https://github.com/jaredwilli/qlass,,2
CoffeeScript,"CoffeeScript is a little language that compiles into JavaScript. Underneath all those awkward braces and semicolons, JavaScript has always had a gorgeous object model at its heart. CoffeeScript is an attempt to expose the good parts of JavaScript in a simple way.",http://coffeescript.org/,https://github.com/jashkenas/coffee-script,,8426
newick.js,JavaScript library for parsing the Newick format.\n\nSee: http://en.wikipedia.org/wiki/Newick_format,http://www.jasondavies.com/,https://github.com/jasondavies/newick.js,,9
Science.js,"Science.js is a JavaScript library for scientific and statistical computing.\n\nCurrently, there are two modules:\n\nscience.stats, containing various implementations of statistical methods similar to those provided by R;\nscience.lin, for linear algebra.",http://www.jasondavies.com/,https://github.com/jasondavies/science.js/,,332
list.js,"Do you want a 3 KB (gzipped&minified) cross-browser native JavaScript that makes your plain HTML lists and tables super flexible, searchable, sortable and filterable? Yeah! Do you also want the possibility to add, edit and remove items by dead simple templating? Hell yeah!",http://www.listjs.com,https://github.com/javve/list.js,"list, paging, search",4273
pagen,"pagen.js is a simple and customizable site generator for node.js. You can generate nice-looking websites, from static to a MongoDB-run blog, in an instant.",http://jawerty.github.io/pagen/,https://github.com/jawerty/pagen,,37
JayData,Standard based crossplatform JavaScript library and set of practices to access and manipulate data from various online and offline sources.,http://jaydata.org,https://github.com/jaydata/jaydata,"IndexedDb, data, html5, oData",154
Buzz,Buzz is a small but powerful Javascript library that allows you to easily take advantage of the new HTML5 audio element. It tries to degrade properly on non-modern browsers.,http://buzz.jaysalvat.com,https://github.com/jaysalvat/buzz,,632
boxy,"Boxy is a flexible, Facebook-style dialog box for jQuery with support for dragging and size tweening. It differs from other overlays I've seen by providing an object interface to control dialogs after they've been created. And for simple usage scenarios, boxy also provides a jQuery plugin for automatically hooking up links and forms, as well as an ask() helper for presenting multiple choices to the user.",http://onehackoranother.com/projects/jquery/boxy,https://github.com/jaz303/boxy,jquery,153
Gritter,A small growl-like notification plugin for jQuery,http://boedesign.com/2009/07/11/growl-for-jquery-gritter/,https://github.com/jboesch/Gritter,"jquery, rails",613
JS.Class,"JS.Class is a portable, modular JavaScript class library, influenced by the Ruby programming language. It provides a rich set of tools for building object-oriented JavaScript programs, and is designed to run on a wide variety of client- and server-side platforms.\n\nIn particular, to support the writing of equally portable JavaScript code, it provides a package manager and testing framework that run on all supported platforms.",http://jsclass.jcoglan.com,https://github.com/jcoglan/js.class,,
Sylvester,"Sylvester is a vector, matrix and geometry library for JavaScript, that runs in the browser and on the server side. It includes classes for modelling vectors and matrices in any number of dimensions, and for modelling infinite lines and planes in 3-dimensional space. It lets you write object-oriented easy-to-read code that mirrors the maths it represents.",http://sylvester.jcoglan.com,https://github.com/jcoglan/sylvester,,465
Cleaver,30-second Slideshows for Hackers,http://jdan.github.io/cleaver/,https://github.com/jdan/cleaver,,1079
Wind,Wind.js is an advanced library which enable us to control flow with plain JavaScript for asynchronous programming (and more) without additional pre-compiling steps.,http://windjs.org/,https://github.com/JeffreyZhao/wind,,1007
Mercury,Mercury is a full featured HTML5 editor. It was built from the ground up to help your team get the most out of content editing in modern browsers.,http://jejacks0n.github.com/mercury,https://github.com/jejacks0n/mercury,"coffeescript, jquery, rails",1877
IDBWrapper,A cross-browser wrapper for IndexedDB,http://jensarps.github.io/IDBWrapper/,https://github.com/jensarps/IDBWrapper,"IndexedDb, html5, offline",402
Rekapi,"Rekapi is a keyframe animation library for JavaScript. It gives you:\n\nA keyframe-based Model by which to structure an animation\nController APIs to control the playback of an animation\n\n\nRekapi does not define drawing methods. That part is completely generic, and the library exposes a common interface for defining Views.",http://rekapi.com/,https://github.com/jeremyckahn/rekapi,,303
Shifty,"Shifty is a tweening engine built in JavaScript.  It is designed to fit any number of tweening needs. Features include:\n\nSpeed - Shifty is optimized for performance.\nWorks well as the base function in a prototype chain.\nModular, extensible architecture allows you to use only the Shifty components you need.\nSmall download: Full library (with all extensions) is about 3K minified and gzipped",http://jeremyckahn.github.io/shifty/,https://github.com/jeremyckahn/shifty,,309
microphysics.js,microphysics.js is a micro library implementing 3D physics.,http://learningthreejs.com/blog/2011/10/17/lets-make-a-3d-game-microphysics-js/,https://github.com/jeromeetienne/microphysics.js,,73
DocumentUp,Pretty documentation generator for Github projects with proper Readme.\nAutomatically generated documentation sites for your markdown files,http://documentup.com,https://github.com/jeromegn/DocumentUp,,602
JesCov,"JesCov is an open source tool for measuring code coverage of JavaScript. It makes it possible to find out both line and branch coverage from any ES3-compliant source code. It is not tied to any particular testing framework, but the only current integration point is for Jasmine. The general approach is based on a JSON data interchange format, which means some of the reporting tools could potentially be used against data collected in some other way than running the core JesCov project.",http://jescov.olabini.com,https://github.com/jescov/jescov,coverage,14
Resistance,"Resistance is a tiny (579 bytes, 347 bytes gzipped) flow control library for javascript.",http://jga.me/blog/tags/resistance,https://github.com/jgallen23/resistance,,44
Effect Games,"Effect Games provides a suite of developer tools for creating and publishing web-based video games. The software is free, and includes an asset manager, level editor, sprite manager, environment editor, and publishing tools. The source code is released under the MIT License.\n\nAt the core of Effect Games is the Effect Engine, a JavaScript game engine which uses built-in browser technologies to render graphics. Currently the engine uses classic DHTML, not the Canvas element nor WebGL. For audio we use HTML5 whenever we can, but fall back to Flash where necessary (which is unfortunately a lot of the time). The Effect Engine supports most browsers including Internet Explorer 6+, Firefox 3+, Safari 3+, Chrome 2+, Opera 9+, and all major platforms including Windows, Mac and Linux.",http://www.effectgames.com,https://github.com/jhuckaby/Effect-Games,obsolete,285
My.js,"Probably the fastest JS class system out there. 100% no wrappers, same perfs as hand-written pure JS classes.",http://jiem.github.io/my-class/,https://github.com/jiem/my-class,,68
nerdamer,A symbolic math parser written in javascript.,http://www.nerdamer.com,https://github.com/jiggzson/nerdamer,"algebra, calculus, differentiation, javascript, math, symbolic",1
PastryKit,A little-known and unreleased iPhone web-app Javascript framework developed by Apple.,http://help.apple.com/iphone/3/mobile/,https://github.com/jimeh/PastryKit,,76
Sheetsee.js,Sheetsee.js is a javascript library mashup that allows you to fill a website with content from a Google Spreadsheet. The web content and visualizations will update with every auto save by Google. That's cool. No pushing or uploading changes.,http://jllord.github.com/sheetsee.js/,https://github.com/jllord/sheetsee.js,"cms, google, graph, spreadsheet, visualization",
jmpress.js,A jQuery plugin to build a website on the infinite canvas.\n\nStarted as a jQuery port of impress.js and utilizes the power of CSS3 transforms and transitions in modern browsers.,http://jmpressjs.github.com/jmpress.js,https://github.com/jmpressjs/jmpress.js,jquery,1210
gif.js,"JavaScript GIF encoder that runs in your browser.\n\nUses typed arrays and web workers to render each frame in the background, it's really fast!\n\nDemo - http://jnordberg.github.io/gif.js/\n\nWorks in browsers supporting: Web Workers, File API and Typed Arrays\n\nTested in\n\n\nGoogle Chrome\nFirefox 17\nSafari 6\nInternet Explorer 10\nMobile Safari iOS 6",http://jnordberg.github.io/gif.js/,https://github.com/jnordberg/gif.js,,683
Wintersmith,Wintersmith is a flexible static site generator. It contains a basic plugin model and doesn't enforce you to use some specific way to construct your site. It supports Markdown. Templating-wise Jade (bundled) and Swig (plugin) are available.,http://wintersmith.io/,https://github.com/jnordberg/wintersmith,,1207
Flux Slider,Hardware accelerated image transitions using CSS3.,http://www.joelambert.co.uk/flux,https://github.com/joelambert/Flux-Slider,"css3, jquery",969
jQuery Bullet Graph,"A jQuery plugin, turning a html select element into a bullet graph slider. Bullet graphs, developed by Stephen Few, feature a single primary measure, a comparative measure. These measures are displayed in the context of qualitative and quantitative measures. Additionally the qualitative ranges are displayed as varying intensities of a single hue to make them discernible. This plugin creates a pure css based bullet graph and makes the primary measure adjustable by incorporating a jQuery UI slider element.",http://johdax.net/post/jquery-bullet-graph/,https://github.com/johdax/jQuery.bulletGraph,chart,42
jQuery File Download,jQuery File Download is a cross server platform compatible jQuery plugin that allows for an Ajax-like file download experience that isn't normally possible using the web.,http://johnculviner.com/jquery-file-download-plugin-for-ajax-like-feature-rich-file-downloads/,https://github.com/johnculviner/jquery.fileDownload,"Download, MVC, ajax, asp.net, file, jquery",227
MediaElement.js,HTML5  and  made easy.\nOne file. Any browser. Same UI.,http://mediaelementjs.com/,https://github.com/johndyer/mediaelement,html5,2127
scrolldeck.js,A jQuery plugin for making scrolling presentation decks,http://johnpolacek.github.com/scrolldeck.js/,https://github.com/johnpolacek/scrolldeck.js,,541
Stacktable.js,The purpose of stacktable.js is to give you an easy way of converting wide tables to a format that will work better on small screens. It creates a copy of the table that is converted into a 2-column key/value format.,http://johnpolacek.github.com/stacktable.js/,https://github.com/johnpolacek/stacktable.js,"jquery, table",555
goo.js,Microlibrary that makes it quick and easy to draw using the HTML5 Canvas API.c,http://www.storminthecastle.com/projects/goo.js/,https://github.com/johnrobinsn/goo.js,,71
jquery.keys,"Keyboard hotkey/shortcut binding, using custom namespace syntax with any event type.",http://www.adaptavist.com/display/jQuery/Keys,https://github.com/jollytoad/jquery.keys,,3
Jomoho JS,"The easy and straight forward way to do 2D games in html5.\n\nJomohoJs comes with its own collaborative level editor togather (http://github.com/jomoho/togather2) and a comprehensive library of game related functionality.\n\nIt will make your development a fun and rewarding process, by automating and simplyfing as much as possible while still giving fine grained control.",http://jomoho.com,https://github.com/jomoho/jomohojs/,2d,20
Graphene,"Graphene is a realtime dashboard & graphing toolkit based on D3 and Backbone.\n\nIt was made to offer a very aesthetic realtime dashboard that lives on top of Graphite (but could be tailored to any back end, eventually).\n\nCombining D3's immense capabilities of managing live data, and Backbone's ease of development, Graphene provides a solution capable of displaying thousands upon thousands of datapoints in your dashboard, as well as presenting a very hackable project to build on and customize.",http://jondot.github.com/graphene,https://github.com/jondot/graphene,"backbone, d3",2315
Two.js,"Two.js is a two-dimensional drawing api geared towards modern web browsers. It is renderer agnostic enabling the same api to draw in multiple contexts: svg, canvas, and webgl.",http://jonobr1.github.com/two.js,https://github.com/jonobr1/two.js,,2384
Joose,"Joose is a complete modern object system for JavaScript based on concepts from many programming languages such as Ruby, Smalltalk, Perl and, well, JavaScript. It provides ""keywords"" or ""syntactic sugar"" for class declaration, object construction, inheritance and more. These keywords feel like they become a part of the language and you don't have to care about the implementation details of all these concepts.",http://joose.it,https://github.com/Joose/Joose,,284
Joosy,"Joosy is a javascript framework. Being a harmonious extensions to Rails it introduces everything you like about this framework right to your browser. Ready conventions set, extensive CoffeeScript, HAML support, Helpers, seamless backend integration, automatic code generation and more.",http://joosy.ws,https://github.com/joosy/joosy,"coffescript, rails, rest, ruby",321
jsoneditor,"A web-based tool to view, edit and format JSON.",http://jsoneditoronline.org,https://github.com/josdejong/jsoneditor,"edit, format, json, view",823
math.js,"Math.js is an extensive math library for JavaScript and Node.js. It features a flexible expression parser and offers an integrated solution to work with numbers, big numbers, complex numbers, units, and matrices.",http://mathjs.org,https://github.com/josdejong/mathjs,"bignumber, complex, math, matrix, unit",389
Chipmunk-js,"This is a port of the Chipmunk Physics library to Javascript!\n\nCaveats\nIt is slower than the C version (duh, its in javascript). Specifically, physics simulations using chipmunk-js runs about 3 times slower than the C equivalent.\nI haven't implemented chipmunk's spatial hash, and I have no intention to do so.",http://dl.dropbox.com/u/2494815/demo/Joints.html,https://github.com/josephg/Chipmunk-js,,313
HTML KickStart,"Ultra?Lean HTML5, CSS, & JS Building Blocks\nfor Rapid Website Production",http://www.99lime.com,https://github.com/joshuagatcke/HTML-KickStart,jquery,986
accounting.js,"accounting.js is a tiny JavaScript library for number, money and currency formatting, with optional excel-style column rendering (to line up symbols and decimals). It's lightweight, fully localisable and has zero dependencies.",http://josscrowcroft.github.com/accounting.js/,https://github.com/josscrowcroft/accounting.js,,1439
joy.js,"A Joyful 2D HTML5 Game Engine, designed to be easy to use.",http://joyjs.org,https://github.com/joy/joy.js,,135
Node.js,"Node.js is a platform built on Chrome's JavaScript runtime for easily building fast, scalable network applications. Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient, perfect for data-intensive real-time applications that run across distributed devices.",http://nodejs.org/,https://github.com/joyent/node,,26406
